FID,LandUse,Location,D1HOURMAX,D24HOURMEAN,D8HOURMAX,D8HOURMEAN,Lat,Long,y_coord_pr,x_coord_pr
1,COMMERCIAL,SUBURBAN,53.04,33.14,47.01,45.92,30.497999,-87.881401,-564.414978,486.140991
2,RESIDENTIAL,RURAL,56.09,35.13,51.6,50.91,33.281299,-85.8022,-361.347991,588.781005
3,INDUSTRIAL,SUBURBAN,54.76,33.22,49.49,48.45,34.760601,-87.650596,-270.670013,473.074005
4,AGRICULTURAL,RURAL,53.94,36.56,48.87,48.14,32.4986,-86.136596,-417.092987,575.372009
5,AGRICULTURAL,SUBURBAN,55.2,30.75,49.75,48.97,33.903999,-86.053901,-320.28601,569.637023
6,RESIDENTIAL,SUBURBAN,50.19,31.65,46.12,45.25,31.1907,-85.423103,-501.938995,627.237976
7,COMMERCIAL,URBAN,49.19,24.59,42.15,40.99,33.5531,-86.815002,-348.925994,528.630981
8,RESIDENTIAL,SUBURBAN,54.9,29.75,48.02,47.06,33.485599,-86.915,-354.131011,523.356994
9,RESIDENTIAL,SUBURBAN,56.99,29.67,50.39,49.65,33.3311,-87.003601,-365.229003,519.317993
10,FOREST,RURAL,56.82,40.57,52.4,51.01,33.459701,-87.305603,-358.096984,501.097991
11,RESIDENTIAL,SUBURBAN,56.35,26.69,48.97,48,33.545299,-86.549201,-347.895996,543.932006
12,COMMERCIAL,SUBURBAN,58.82,31.75,51.83,50.86,33.386398,-86.816703,-360.364013,529.690002
13,RESIDENTIAL,SUBURBAN,55.59,30.1,49.53,48.61,33.7047,-86.669197,-337.675994,535.927978
14,RESIDENTIAL,RURAL,59.3,40.99,53.71,52.79,33.8017,-86.942497,-332.609985,519.619018
15,RESIDENTIAL,SUBURBAN,58.93,31.55,51.57,50.49,33.5783,-86.773902,-346.95401,530.812988
16,FOREST,RURAL,56.89,41.45,52.29,51.32,34.342899,-87.339698,-297.687011,493.363006
17,COMMERCIAL,URBAN,51.8,32.03,46.84,45.66,34.687698,-86.586402,-269.796997,533.685974
18,COMMERCIAL,SUBURBAN,53.91,27.13,46.8,45.84,30.769899,-88.087501,-546.836975,472.207
19,AGRICULTURAL,RURAL,52.86,29.69,46.73,45.93,30.4747,-88.141098,-567.379028,470.765014
20,COMMERCIAL,SUBURBAN,55.43,33.94,50.17,49.39,32.4071,-86.256401,-424.109008,569.083984
21,COMMERCIAL,URBAN,59.28,35.24,54.01,53.28,34.518699,-86.976898,-283.622985,512.768005
22,RESIDENTIAL,SUBURBAN,54.78,35.42,50.19,49.6,32.467998,-85.083801,-412.191986,636.755981
23,AGRICULTURAL,RURAL,59.64,33.15,53.03,52.18,33.316898,-86.824996,-365.174011,529.692016
24,FOREST,RURAL,47.92,31.33,43.36,42.36,32.363998,-88.201896,-438,456.020996
25,COMMERCIAL,SUBURBAN,54.75,28.99,49.22,48.46,33.089599,-87.459701,-384.332,494.622985
26,DESERT,RURAL,51.72,41.89,49.15,48.48,32.116901,-109.467002,-416.23999,-788.125976
27,FOREST,RURAL,55.03,49.45,52.85,51.4,36.071701,-112.152999,-122.418998,-895.794006
28,FOREST,RURAL,65.15,49.13,59.25,55.67,33.654598,-111.107002,-296.705993,-865.789001
29,DESERT,RURAL,57.33,43.88,54.55,52.94,34.231899,-113.580001,-232.270996,-998.280029
30,RESIDENTIAL,SUBURBAN,57.62,28.7,49.88,49.11,33.483798,-112.142997,-298.119995,-926.625976
31,RESIDENTIAL,SUBURBAN,60.26,32.41,52.62,51.82,33.560298,-112.066001,-293.70401,-921.36798
32,DESERT,RURAL,61.43,38.71,54.6,53.49,33.452201,-111.733001,-304.372985,-903.744018
33,RESIDENTIAL,RURAL,60.14,33.17,52.3,51.37,33.5694,-112.192001,-291.821014,-928.366027
34,RESIDENTIAL,SUBURBAN,58.21,43.66,51.91,48.91,33.712299,-111.852996,-285.529998,-907.43402
35,RESIDENTIAL,URBAN,54.23,26.49,46.45,45.65,33.457901,-112.045997,-300.856994,-921.453002
36,RESIDENTIAL,SUBURBAN,56.58,29.54,49.36,48.61,33.479698,-111.916999,-300.677001,-913.872009
37,RESIDENTIAL,URBAN,57.31,29.98,50.42,49.61,33.403198,-112.074996,-304.276,-923.781982
38,RESIDENTIAL,SUBURBAN,62.08,35.1,55.29,54.43,33.298999,-111.884002,-313.270996,-914.159973
39,RESIDENTIAL,URBAN,63.43,32.41,55.81,55.1,33.412399,-111.934997,-305.066986,-915.674011
40,RESIDENTIAL,RURAL,65.4,47,59.12,57.9,33.821701,-112.016998,-276.460998,-915.445983
41,COMMERCIAL,SUBURBAN,53.04,32.08,47.64,46.6,33.6371,-112.342002,-285.687988,-936.059997
42,AGRICULTURAL,RURAL,50.95,28.44,45.39,44.92,33.369998,-112.621002,-300.903991,-955.192993
43,AGRICULTURAL,SUBURBAN,56.52,34.15,50.59,49.6,33.629199,-111.677001,-292.910003,-898.450988
44,RESIDENTIAL,RURAL,57.06,37.23,51.92,50.77,33.289398,-112.156997,-311.164001,-929.825988
45,RESIDENTIAL,RURAL,57.21,32.61,50.39,49.61,33.488201,-111.856002,-300.710998,-910.271972
46,DESERT,RURAL,60.27,37.23,53.44,52.47,33.5079,-111.754997,-300.381011,-904.29602
47,RESIDENTIAL,RURAL,59.07,36.28,52.07,50.81,33.474498,-111.805,-302.145996,-907.55902
48,RESIDENTIAL,RURAL,60.6,36.15,53.26,52.37,33.507999,-111.837997,-299.545013,-909.020996
49,FOREST,RURAL,63.33,52.46,58.39,55.63,33.982799,-111.799003,-267.703002,-901.159973
50,DESERT,RURAL,48.79,33.3,43.77,42.42,33.545501,-111.609001,-299.263,-895.593017
51,RESIDENTIAL,SUBURBAN,58.71,39.63,52.26,50.91,33.611,-111.724998,-293.670013,-901.409973
52,RESIDENTIAL,SUBURBAN,68.96,45.23,61.65,60.14,33.718799,-111.671997,-286.87799,-897.106018
53,RESIDENTIAL,URBAN,53.18,25.23,45.18,44.4,33.503601,-112.095001,-297.260009,-923.68402
54,DESERT,RURAL,53.24,43.25,50.31,49.41,34.822498,-109.891998,-228.207,-784.518005
55,COMMERCIAL,URBAN,47.94,25.48,41.52,40.68,32.222198,-110.977996,-395.302001,-874.603027
56,DESERT,RURAL,54.6,41.31,50.03,49.35,32.1744,-110.736,-400.846984,-861.16101
57,RESIDENTIAL,SUBURBAN,51.15,29.02,45.36,44.72,32.208301,-110.872001,-397.253997,-868.648986
58,DESERT,RURAL,51.7,36.76,47.43,46.46,32.4253,-111.070999,-380.602996,-877.702026
59,DESERT,RURAL,52.68,33.69,48.19,47.58,32.0475,-110.774002,-409.125,-864.744018
60,RESIDENTIAL,URBAN,51.05,28.01,45.16,44.49,32.2952,-110.982002,-390.300994,-874.043029
61,COMMERCIAL,SUBURBAN,48.25,33.22,44.76,44.01,31.879499,-110.996002,-418.416992,-879.547973
62,RESIDENTIAL,SUBURBAN,50.54,27.69,44.68,44.16,32.173,-110.980003,-398.628997,-875.289001
63,RESIDENTIAL,SUBURBAN,48.73,25.16,43.5,42.43,32.380798,-111.126998,-383.084014,-881.442016
64,COMMERCIAL,SUBURBAN,61.23,42.8,55.17,53.77,33.421398,-111.543998,-308.334991,-893.314025
65,COMMERCIAL,SUBURBAN,53.76,33.27,49.6,48.42,32.954498,-111.762001,-337.876007,-911.284973
66,DESERT,RURAL,54.58,32.12,50.74,49.87,32.5083,-111.307998,-372.665008,-890.413024
67,AGRICULTURAL,SUBURBAN,49.45,29.4,43.89,43.01,33.2191,-111.560997,-321.903991,-896.67102
68,RESIDENTIAL,SUBURBAN,45.89,26.41,41.4,40.64,33.0587,-111.046997,-337.777008,-869.146972
69,RESIDENTIAL,RURAL,55.73,35.84,51.16,50.31,33.045299,-111.442001,-334.881011,-891.880981
70,DESERT,RURAL,64.25,47.96,58.88,56.69,33.293498,-111.286003,-319.535003,-880.096008
71,AGRICULTURAL,RURAL,52.1,33.09,47.35,46.54,32.677799,-114.475997,-327.134002,-1070.020019
72,AGRICULTURAL,RURAL,48.61,27.83,43.11,42.01,35.196701,-90.191101,-251.843994,327.451995
73,FOREST,RURAL,48.05,39.86,44.57,40.64,35.8325,-93.2192,-216.070007,155.503005
74,FOREST,RURAL,48.67,39.69,44.76,40.67,34.454399,-94.143302,-312.36499,105.767997
75,COMMERCIAL,URBAN,44.74,25.53,39.2,38.19,34.756099,-92.275802,-288.332,211.257995
76,FOREST,RURAL,47.16,31.84,42.01,40.79,34.8306,-92.259399,-283.165985,211.977005
77,COMMERCIAL,SUBURBAN,42.88,22.04,36.92,35.75,34.681701,-92.3283,-293.579986,208.488006
78,COMMERCIAL,SUBURBAN,43.42,27.9,38.81,37.39,36.179698,-94.116699,-193.419006,104.829002
79,RESIDENTIAL,SUBURBAN,34.71,23.04,29.93,28.57,37.707801,-122.120002,113.363998,-1404.449951
80,COMMERCIAL,URBAN,42.13,22.45,35.28,34.52,37.6875,-121.783996,106.877998,-1387.260009
81,RESIDENTIAL,SUBURBAN,37.37,20.72,31.42,30.41,37.5358,-121.961997,99.548599,-1399.5
82,RESIDENTIAL,RURAL,37.82,27.39,33.09,30.99,37.654399,-122.030998,108.455001,-1400.790039
83,COMMERCIAL,SUBURBAN,48.72,26.58,42.5,41.07,38.34,-120.762001,134.992004,-1321.599975
84,COMMERCIAL,SUBURBAN,47.66,28.03,41.58,40.33,39.757499,-121.842002,244.852996,-1350.380004
85,COMMERCIAL,RURAL,52.75,42.39,48.88,45.26,39.714199,-121.617996,238.671997,-1339.790039
86,AGRICULTURAL,RURAL,51.7,31.18,46.21,44.73,38.2019,-120.680999,124.630996,-1319.880004
87,COMMERCIAL,RURAL,43.99,24.95,38.18,37.07,39.203098,-122.016998,210.740997,-1370.010009
88,RESIDENTIAL,SUBURBAN,42.18,24.08,36.03,35.27,37.936,-122.026,127.021003,-1395.099975
89,AGRICULTURAL,RURAL,43.85,25.47,37.6,36.84,38.010601,-121.640998,126.116996,-1373.589965
90,COMMERCIAL,URBAN,34.27,21.95,29.35,28.06,37.9603,-122.357002,133.712005,-1411.839965
91,RESIDENTIAL,URBAN,42.33,25.78,36.06,35.16,38.029201,-121.902,131.296997,-1386.829956
92,RESIDENTIAL,SUBURBAN,49.9,38.79,45.33,42.59,38.727199,-120.818,161.524002,-1317.319946
93,FOREST,RURAL,59.92,48.52,55.22,52.34,38.811698,-120.032997,155.977996,-1275.089965
94,INDUSTRIAL,RURAL,57.6,39.37,52.81,51.02,38.910301,-119.995002,162.026,-1271.390014
95,AGRICULTURAL,RURAL,66.61,44.34,59.48,58.4,38.890598,-121,175.007995,-1323.680053
96,COMMERCIAL,SUBURBAN,47.81,24.59,40.84,39.29,36.7056,-119.740997,11.572699,-1297.380004
97,RESIDENTIAL,SUBURBAN,55.75,30.01,48.42,47.25,36.781398,-119.772003,17.0641,-1297.680053
98,RESIDENTIAL,SUBURBAN,52.95,28.33,46.12,44.87,36.8414,-119.874,22.517999,-1302.060058
99,UNKNOWN,UNKNOWN,57.38,29.76,49.09,48.04,36.597499,-119.503997,1.00214,-1286.579956
100,RESIDENTIAL,URBAN,56.74,30.64,49.1,48,36.819198,-119.716003,18.7882,-1294.030029
101,AGRICULTURAL,SUBURBAN,46.48,26.4,40.92,39.79,39.533901,-122.191001,235.253997,-1372.45996
102,RESIDENTIAL,SUBURBAN,32.31,21.77,28.74,27.28,40.776901,-124.177001,347.953002,-1447.280029
103,RESIDENTIAL,SUBURBAN,50.96,26.91,42.32,41.59,32.6739,-115.502998,-315.015991,-1128.680053
104,RESIDENTIAL,SUBURBAN,53.03,27.06,44.46,43.3,32.676101,-115.483001,-315.110992,-1127.520019
105,MOBILE,RURAL,40.87,23.54,35.43,34.54,32.677799,-115.389999,-316.153015,-1122.170043
106,COMMERCIAL,URBAN,54.14,29.08,44.94,43.77,32.791698,-115.561996,-306.359985,-1130.290039
107,AGRICULTURAL,RURAL,59.58,34.82,51.94,51.02,33.032501,-115.622001,-289.390991,-1130.20996
108,DESERT,RURAL,51.93,30.87,44.55,43.8,33.2136,-115.543998,-278.16101,-1123.130004
109,DESERT,RURAL,55.9,49.27,53.39,51.58,36.508598,-116.847999,-40.356601,-1145.290039
110,AGRICULTURAL,RURAL,58.99,33.44,50.22,49.09,35.346099,-118.850997,-91.661903,-1273.010009
111,RESIDENTIAL,SUBURBAN,55.03,40.57,49.67,48.85,35.054401,-119.403999,-103.304,-1308.23999
112,COMMERCIAL,URBAN,50.52,24.98,43.74,42.77,35.385601,-119.014999,-86.737098,-1281.25
113,MOBILE,RURAL,52.04,39.22,46.89,41.01,35.050598,-118.146003,-121.126998,-1239.439941
114,MOBILE,URBAN,54.65,27.4,47.88,46.83,35.356098,-119.04,-88.343597,-1283.150024
115,INDUSTRIAL,SUBURBAN,58.64,36.69,52.04,50.66,35.438899,-119.015998,-83.1613,-1280.400024
116,AGRICULTURAL,RURAL,66.18,41.78,58.17,57.17,35.208301,-118.783996,-101.793998,-1271.71997
